Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1649.2997859999991
FDW14,OUT017,1435.9121343750003
NCN55,OUT010,584.7577647727275
FDQ58,OUT017,2649.1102324324324
FDY38,OUT027,6280.890879999996
FDH56,OUT046,1922.1493817142846
FDL48,OUT018,713.8586545454551
FDC48,OUT027,2517.8820884848496
FDN33,OUT045,1879.2570116129032
FDA36,OUT017,2752.9709346534655
FDT44,OUT017,1922.1493817142846
FDQ56,OUT045,1435.9121343750003
NCC54,OUT019,584.7577647727275
FDU11,OUT049,2142.7435709401707
DRL59,OUT013,713.8586545454551
FDM24,OUT049,2286.4132673684217
FDI57,OUT045,3130.004904950494
DRC12,OUT018,2893.8398258992806
NCM42,OUT027,3242.0620715328478
FDA46,OUT010,482.6995426229507
FDA31,OUT013,2778.5893175257734
NCJ31,OUT035,3737.2957751824797
FDG52,OUT046,798.217603539823
NCL19,OUT019,281.4820818181817
FDS10,OUT035,3384.1080642424226
FDX22,OUT010,584.7577647727275
NCF19,OUT035,798.217603539823
NCE06,OUT046,2503.501336448598
DRC27,OUT046,3643.519725984252
FDE21,OUT035,1922.1493817142846
NCR42,OUT019,92.67548155339806
FDX51,OUT018,2893.8398258992806
NCR06,OUT018,507.04640366972507
FDU31,OUT027,5329.314724444444
FDU59,OUT017,2503.501336448598
FDR03,OUT027,5329.314724444444
FDS49,OUT027,2517.8820884848496
FDD48,OUT010,281.4820818181817
NCF18,OUT017,2939.348476190474
NCD43,OUT027,2517.8820884848496
NCD54,OUT018,1752.2524400000002
FDY19,OUT010,281.4820818181817
NCY54,OUT017,2778.5893175257734
NCL19,OUT018,2232.847021848739
FDP23,OUT010,584.7577647727275
FDC26,OUT013,1649.2997859999991
FDR14,OUT010,165.91858165137603
NCS41,OUT035,3384.1080642424226
FDF41,OUT035,3737.2957751824797
FDU34,OUT046,1987.251048648648
DRH11,OUT046,935.0323883040942
FDM03,OUT013,1461.8437959999997
FDS31,OUT017,3384.1080642424226
FDJ20,OUT017,2142.7435709401707
FDV44,OUT027,5329.314724444444
FDG02,OUT049,2752.9709346534655
FDA09,OUT013,3259.5620849056604
FDT04,OUT013,507.04640366972507
FDL58,OUT019,584.7577647727275
FDE52,OUT045,1435.9121343750003
FDW12,OUT035,2286.4132673684217
FDL51,OUT017,3643.519725984252
NCY42,OUT027,3242.0620715328478
FDR07,OUT017,1573.0706258064517
FDN40,OUT045,2286.4132673684217
FDB35,OUT027,2517.8820884848496
FDA22,OUT017,2286.4132673684217
NCL06,OUT046,4034.300306896551
FDI35,OUT013,3384.1080642424226
NCW42,OUT045,4340.218358415841
NCX06,OUT049,2778.5893175257734
FDC37,OUT027,2517.8820884848496
FDZ14,OUT018,1752.2524400000002
DRG49,OUT049,3454.0625591549287
NCG06,OUT045,4034.300306896551
DRC36,OUT045,3259.5620849056604
FDV21,OUT019,281.4820818181817
FDB53,OUT046,3053.099877777778
DRP47,OUT019,584.7577647727275
FDA14,OUT013,3053.099877777778
DRC24,OUT035,2644.4778427083343
FDW21,OUT018,1372.6884907407414
NCH29,OUT046,1682.2122382352939
FDU58,OUT013,2893.8398258992806
FDY27,OUT017,2552.005235185186
FDV56,OUT035,1682.2122382352939
FDT59,OUT046,3945.4325672131154
FDB23,OUT046,3945.4325672131154
FDR49,OUT045,798.217603539823
FDB03,OUT010,584.7577647727275
FDN39,OUT045,2453.7477006993017
FDX02,OUT027,5329.314724444444
FDQ16,OUT027,2517.8820884848496
FDU35,OUT018,1372.6884907407414
NCT29,OUT013,1987.251048648648
FDZ27,OUT046,798.217603539823
FDN57,OUT017,2309.200798000001
FDA03,OUT018,2232.847021848739
FDZ36,OUT045,3384.1080642424226
NCU05,OUT013,1284.7897668711655
FDT39,OUT018,2232.847021848739
FDK60,OUT017,1461.8437959999997
FDZ25,OUT017,3053.099877777778
FDG12,OUT046,2243.669596721311
DRB01,OUT019,482.6995426229507
NCC43,OUT027,6280.890879999996
FDX13,OUT019,584.7577647727275
FDM22,OUT049,796.6402682539688
FDJ03,OUT027,1378.2631852760737
FDU14,OUT018,3327.9525829268296
FDB33,OUT010,346.8972837209304
FDP27,OUT046,3391.5912527272717
FDO38,OUT010,165.91858165137603
FDE28,OUT027,6280.890879999996
FDO27,OUT035,1879.2570116129032
DRL23,OUT027,2517.8820884848496
FDS28,OUT046,935.0323883040942
FDX24,OUT013,1435.9121343750003
FDZ02,OUT035,1682.2122382352939
FDL46,OUT045,1827.8328454545453
FDS60,OUT027,5329.314724444444
NCO06,OUT017,583.8145788617886
FDO16,OUT035,1435.9121343750003
